,n,n_hi,n_dev,hi_mean,dev_mean,t,p,d
All texts,2097.0,1700.0,397.0,0.8731,0.6514,5.4728,0.0,0.2977
Good only,885.0,754.0,131.0,1.421,1.3969,0.4148,0.678766,0.0368
Good + thin,1666.0,1378.0,288.0,1.0446,0.8785,3.5688,0.000399,0.2271
Excl. stubs,1666.0,1378.0,288.0,1.0446,0.8785,3.5688,0.000399,0.2271
