policy_type,n,mean,median
Regulation,38,1.105,1.2
Guideline,199,0.993,1.0
Action Plan,95,0.985,1.0
Framework,238,0.938,0.8
Report,13,0.892,1.0
Resolution,11,0.891,1.2
Legislation,63,0.886,0.6
Strategy,235,0.835,1.0
Executive Order,13,0.815,0.6
Program,657,0.565,0.4
Other,578,0.12,0.0
