,count,mean,std,min,25%,median,75%,max,skew,kurtosis
e1_framework,2216.0,0.681,0.774,0.0,0.0,1.0,1.0,3.0,0.754,-0.501
e2_rights,2216.0,0.552,0.73,0.0,0.0,0.0,1.0,4.0,1.109,0.501
e3_governance,2216.0,0.618,0.737,0.0,0.0,0.0,1.0,3.0,0.876,-0.163
e4_operationalisation,2216.0,0.577,0.721,0.0,0.0,0.0,1.0,4.0,1.144,0.99
e5_inclusion,2216.0,0.629,0.766,0.0,0.0,0.0,1.0,3.0,0.886,-0.265
ethics_score,2216.0,0.611,0.637,0.0,0.0,0.4,1.0,3.2,0.779,-0.349
