23:09:27 [INFO] \u2550\u2550\u2550 PHASE B: LLM-based structured ethics extraction \u2550\u2550\u2550
23:09:27 [INFO] Target policies with ethics > 0: 1345
23:09:27 [INFO] Loading corpus texts...
23:09:28 [INFO] Corpus entries loaded: 2205
23:09:28 [INFO] Matched corpus texts: 1345 / 1345
23:09:28 [INFO] Resuming: 25 already completed
23:09:28 [INFO] Policies to process: 1320
23:12:36 [INFO]   [70/1320] (OK) 0.4/min, ETA 56m (failed: 0)
23:12:37 [INFO]   [71/1320] (OK) 0.4/min, ETA 55m (failed: 0)
23:12:38 [INFO]   [72/1320] (OK) 0.4/min, ETA 55m (failed: 0)
23:12:43 [INFO]   [73/1320] (OK) 0.4/min, ETA 55m (failed: 0)
23:12:44 [INFO]   [74/1320] (OK) 0.4/min, ETA 55m (failed: 0)
23:12:46 [INFO]   [75/1320] (OK) 0.4/min, ETA 55m (failed: 0)
23:12:50 [INFO]   [76/1320] (OK) 0.4/min, ETA 55m (failed: 0)
23:12:54 [INFO]   [77/1320] (OK) 0.4/min, ETA 55m (failed: 0)
23:12:55 [INFO]   [78/1320] (OK) 0.4/min, ETA 55m (failed: 0)
23:12:59 [INFO]   [79/1320] (OK) 0.4/min, ETA 55m (failed: 0)
23:13:01 [INFO]   [80/1320] (OK) 0.4/min, ETA 55m (failed: 0)
23:13:02 [INFO]   [81/1320] (OK) 0.4/min, ETA 54m (failed: 0)
23:13:07 [INFO]   [82/1320] (OK) 0.4/min, ETA 55m (failed: 0)
23:13:09 [INFO]   [83/1320] (OK) 0.4/min, ETA 55m (failed: 0)
23:13:10 [INFO]   [84/1320] (OK) 0.4/min, ETA 54m (failed: 0)
23:13:16 [INFO]   [85/1320] (OK) 0.4/min, ETA 55m (failed: 0)
23:13:17 [INFO]   [86/1320] (OK) 0.4/min, ETA 55m (failed: 0)
23:13:20 [INFO]   [87/1320] (OK) 0.4/min, ETA 55m (failed: 0)
23:13:23 [INFO]   [88/1320] (OK) 0.4/min, ETA 55m (failed: 0)
23:13:23 [INFO]   [89/1320] (OK) 0.4/min, ETA 54m (failed: 0)
23:13:27 [INFO]   [90/1320] (OK) 0.4/min, ETA 54m (failed: 0)
23:13:30 [INFO]   [91/1320] (OK) 0.4/min, ETA 54m (failed: 0)
23:13:30 [INFO]   [92/1320] (OK) 0.4/min, ETA 54m (failed: 0)
23:13:35 [INFO]   [93/1320] (OK) 0.4/min, ETA 54m (failed: 0)
23:13:37 [INFO]   [94/1320] (OK) 0.4/min, ETA 54m (failed: 0)
23:13:39 [INFO]   [95/1320] (OK) 0.4/min, ETA 54m (failed: 0)
23:13:45 [INFO]   [96/1320] (OK) 0.4/min, ETA 55m (failed: 0)
23:13:48 [INFO]   [97/1320] (OK) 0.4/min, ETA 55m (failed: 0)
23:13:51 [INFO]   [98/1320] (OK) 0.4/min, ETA 55m (failed: 0)
23:13:54 [INFO]   [99/1320] (OK) 0.4/min, ETA 55m (failed: 0)
23:13:56 [INFO]   [100/1320] (OK) 0.4/min, ETA 54m (failed: 0)
23:13:59 [INFO]   [101/1320] (OK) 0.4/min, ETA 54m (failed: 0)
23:14:01 [INFO]   [102/1320] (OK) 0.4/min, ETA 54m (failed: 0)
23:14:01 [INFO]   [103/1320] (OK) 0.4/min, ETA 54m (failed: 0)
23:14:05 [INFO]   [104/1320] (OK) 0.4/min, ETA 54m (failed: 0)
23:14:07 [INFO]   [105/1320] (OK) 0.4/min, ETA 54m (failed: 0)
23:14:08 [INFO]   [106/1320] (OK) 0.4/min, ETA 53m (failed: 0)
23:14:13 [INFO]   [107/1320] (OK) 0.4/min, ETA 54m (failed: 0)
23:14:13 [INFO]   [108/1320] (OK) 0.4/min, ETA 53m (failed: 0)
23:14:14 [INFO]   [109/1320] (OK) 0.4/min, ETA 53m (failed: 0)
23:14:18 [INFO]   [110/1320] (OK) 0.4/min, ETA 53m (failed: 0)
23:14:19 [INFO]   [111/1320] (OK) 0.4/min, ETA 53m (failed: 0)
23:14:22 [INFO]   [112/1320] (OK) 0.4/min, ETA 53m (failed: 0)
23:14:24 [INFO]   [113/1320] (OK) 0.4/min, ETA 53m (failed: 0)
23:14:28 [INFO]   [114/1320] (OK) 0.4/min, ETA 53m (failed: 0)
23:14:29 [INFO]   [115/1320] (OK) 0.4/min, ETA 53m (failed: 0)
23:14:31 [INFO]   [116/1320] (OK) 0.4/min, ETA 52m (failed: 0)
23:14:36 [INFO]   [117/1320] (OK) 0.4/min, ETA 53m (failed: 0)
23:14:38 [INFO]   [118/1320] (OK) 0.4/min, ETA 53m (failed: 0)
23:14:38 [INFO]   [119/1320] (OK) 0.4/min, ETA 52m (failed: 0)
23:14:41 [INFO]   [120/1320] (OK) 0.4/min, ETA 52m (failed: 0)
23:14:45 [INFO]   [121/1320] (OK) 0.4/min, ETA 52m (failed: 0)
23:14:46 [INFO]   [122/1320] (OK) 0.4/min, ETA 52m (failed: 0)
23:14:46 [INFO]   [123/1320] (OK) 0.4/min, ETA 52m (failed: 0)
23:14:52 [INFO]   [124/1320] (OK) 0.4/min, ETA 52m (failed: 0)
23:14:55 [INFO]   [125/1320] (OK) 0.4/min, ETA 52m (failed: 0)
23:14:57 [INFO]   [126/1320] (OK) 0.4/min, ETA 52m (failed: 0)
23:14:59 [INFO]   [127/1320] (OK) 0.4/min, ETA 52m (failed: 0)
23:15:02 [INFO]   [128/1320] (OK) 0.4/min, ETA 52m (failed: 0)
23:15:04 [INFO]   [129/1320] (OK) 0.4/min, ETA 52m (failed: 0)
23:15:09 [INFO]   [130/1320] (OK) 0.4/min, ETA 52m (failed: 0)
23:15:09 [INFO]   [131/1320] (OK) 0.4/min, ETA 52m (failed: 0)
23:15:10 [INFO]   [132/1320] (OK) 0.4/min, ETA 51m (failed: 0)
23:15:16 [INFO]   [133/1320] (OK) 0.4/min, ETA 52m (failed: 0)
23:15:17 [INFO]   [134/1320] (OK) 0.4/min, ETA 51m (failed: 0)
23:15:17 [INFO]   [135/1320] (OK) 0.4/min, ETA 51m (failed: 0)
23:15:20 [INFO]   [136/1320] (OK) 0.4/min, ETA 51m (failed: 0)
23:15:23 [INFO]   [137/1320] (OK) 0.4/min, ETA 51m (failed: 0)
23:15:25 [INFO]   [138/1320] (OK) 0.4/min, ETA 51m (failed: 0)
23:15:27 [INFO]   [139/1320] (OK) 0.4/min, ETA 51m (failed: 0)
23:15:32 [INFO]   [140/1320] (OK) 0.4/min, ETA 51m (failed: 0)
23:15:33 [INFO]   [141/1320] (OK) 0.4/min, ETA 51m (failed: 0)
23:15:33 [INFO]   [142/1320] (OK) 0.4/min, ETA 50m (failed: 0)
23:15:39 [INFO]   [143/1320] (OK) 0.4/min, ETA 51m (failed: 0)
23:15:39 [INFO]   [144/1320] (OK) 0.4/min, ETA 51m (failed: 0)
23:15:41 [INFO]   [145/1320] (OK) 0.4/min, ETA 50m (failed: 0)
23:15:47 [INFO]   [146/1320] (OK) 0.4/min, ETA 51m (failed: 0)
23:15:49 [INFO]   [147/1320] (OK) 0.4/min, ETA 51m (failed: 0)
23:15:50 [INFO]   [148/1320] (OK) 0.4/min, ETA 50m (failed: 0)
23:15:54 [INFO]   [149/1320] (OK) 0.4/min, ETA 51m (failed: 0)
23:15:55 [INFO]   [150/1320] (OK) 0.4/min, ETA 50m (failed: 0)
23:15:59 [INFO]   [151/1320] (OK) 0.4/min, ETA 50m (failed: 0)
23:16:03 [INFO]   [152/1320] (OK) 0.4/min, ETA 51m (failed: 0)
23:16:06 [INFO]   [153/1320] (OK) 0.4/min, ETA 51m (failed: 0)
23:16:07 [INFO]   [154/1320] (OK) 0.4/min, ETA 50m (failed: 0)
23:16:10 [INFO]   [155/1320] (OK) 0.4/min, ETA 50m (failed: 0)
23:16:14 [INFO]   [156/1320] (OK) 0.4/min, ETA 50m (failed: 0)
23:16:16 [INFO]   [157/1320] (OK) 0.4/min, ETA 50m (failed: 0)
23:16:20 [INFO]   [158/1320] (OK) 0.4/min, ETA 50m (failed: 0)
23:16:22 [INFO]   [159/1320] (OK) 0.4/min, ETA 50m (failed: 0)
23:16:27 [INFO]   [160/1320] (OK) 0.4/min, ETA 51m (failed: 0)
23:16:28 [INFO]   [161/1320] (OK) 0.4/min, ETA 50m (failed: 0)
23:16:31 [INFO]   [162/1320] (OK) 0.4/min, ETA 50m (failed: 0)
23:16:34 [INFO]   [163/1320] (OK) 0.4/min, ETA 50m (failed: 0)
23:16:37 [INFO]   [164/1320] (OK) 0.4/min, ETA 50m (failed: 0)
23:16:37 [INFO]   [165/1320] (OK) 0.4/min, ETA 50m (failed: 0)
23:16:40 [INFO]   [166/1320] (OK) 0.4/min, ETA 50m (failed: 0)
23:16:43 [INFO]   [167/1320] (OK) 0.4/min, ETA 50m (failed: 0)
23:16:43 [INFO]   [168/1320] (OK) 0.4/min, ETA 50m (failed: 0)
23:16:46 [INFO]   [169/1320] (OK) 0.4/min, ETA 50m (failed: 0)
23:16:49 [INFO]   [170/1320] (OK) 0.4/min, ETA 50m (failed: 0)
23:16:51 [INFO]   [171/1320] (OK) 0.4/min, ETA 50m (failed: 0)
23:16:55 [INFO]   [172/1320] (OK) 0.4/min, ETA 50m (failed: 0)
23:16:57 [INFO]   [173/1320] (OK) 0.4/min, ETA 50m (failed: 0)
23:16:59 [INFO]   [174/1320] (OK) 0.4/min, ETA 49m (failed: 0)
23:17:02 [INFO]   [175/1320] (OK) 0.4/min, ETA 49m (failed: 0)
23:17:03 [INFO]   [176/1320] (OK) 0.4/min, ETA 49m (failed: 0)
23:17:05 [INFO]   [177/1320] (OK) 0.4/min, ETA 49m (failed: 0)
23:17:07 [INFO]   [178/1320] (OK) 0.4/min, ETA 49m (failed: 0)
23:17:10 [INFO]   [179/1320] (OK) 0.4/min, ETA 49m (failed: 0)
23:17:15 [INFO]   [180/1320] (OK) 0.4/min, ETA 49m (failed: 0)
23:17:16 [INFO]   [181/1320] (OK) 0.4/min, ETA 49m (failed: 0)
23:17:17 [INFO]   [182/1320] (OK) 0.4/min, ETA 49m (failed: 0)
23:17:22 [INFO]   [183/1320] (OK) 0.4/min, ETA 49m (failed: 0)
23:17:23 [INFO]   [184/1320] (OK) 0.4/min, ETA 49m (failed: 0)
23:17:24 [INFO]   [185/1320] (OK) 0.4/min, ETA 49m (failed: 0)
23:17:28 [INFO]   [186/1320] (OK) 0.4/min, ETA 49m (failed: 0)
23:17:29 [INFO]   [187/1320] (OK) 0.4/min, ETA 49m (failed: 0)
23:17:32 [INFO]   [188/1320] (OK) 0.4/min, ETA 49m (failed: 0)
23:17:35 [INFO]   [189/1320] (OK) 0.4/min, ETA 49m (failed: 0)
23:17:38 [INFO]   [190/1320] (OK) 0.4/min, ETA 49m (failed: 0)
23:17:38 [INFO]   [191/1320] (OK) 0.4/min, ETA 48m (failed: 0)
