year,n,mean,median,std
2017.0,67,0.91,0.6,0.775
2018.0,168,0.789,0.6,0.77
2019.0,244,0.759,0.6,0.73
2020.0,263,0.819,0.6,0.743
2021.0,280,0.943,0.8,0.832
2022.0,219,0.887,0.8,0.815
2023.0,316,0.819,0.8,0.75
2024.0,374,0.833,0.6,0.772
2025.0,123,0.793,0.8,0.733
